a	aa
ab	ae b
abandoned	aa b ae n D aa n D
ability	aa b ii l aa T II
able	ee b aa l
abound	aa b aw n D
abounded	aa b aw n D ii D
about	aa b aw T
above	aa b aa v
abroad	aa b r OO D
absence	ae b s aa n s
absolute	ae b s aa l UU T
absolutely	ae b s aa l UU T l II
absorb	aa b z OO r b
absorbed	aa b z OO r b D
absorbing	aa b z OO r b ii ng
academy	aa k ae D aa m II
accept	ae k s ex p T
acceptance	ae k s ex p T aa n s
accepted	ae k s ex p T ii D
accepting	ae k s ex p T ii ng
accident	ae k s aa D aa n T
accidentally	ae k s aa D ex n T aa l II
accidents	ae k s aa D aa n T s
accordance	aa k OO r D aa n s
according	aa k OO r D ii ng
account	aa k aw n T
accurate	ae k y aa r aa T
acquire	aa k w ay aa r
across	aa k r OO s
act	ae k T
acting	ae k T ii ng
action	ae k sh aa n
actions	ae k sh aa n z
activating	ae k T aa v ee T ii ng
active	ae k T ii v
actively	ae k T ii v l II
actor	ae k T aa r
actors	ae k T aa r z
actress	ae k T r aa s
acts	ae k T s
actually	ae k c aa w aa l II
add	ae D
added	ae D aa D
adding	ae D ii ng
admire	ae D m ay r
admitted	aa D m ii T aa D
adopting	aa D AA p T ii ng
adorable	aa D OO r aa b aa l
adult	aa D aa l T
adults	aa D aa l T s
advance	aa D v ae n s
adventure	ae D v ex n c aa r
adventures	ae D v ex n c aa r z
advertise	ae D v aa r T ay z
advertisement	aa D v aa r T aa z m aa n T
advertisements	ae D v aa r T ay z m aa n T s
advice	ae D v ay s
adviced	ae D v ay z D
advised	ae D v ay z D
aeroplanes	ex r aa p l oo n z
affected	aa f ex k T aa D
affection	aa f ex k sh aa n
affective	aa f ex k T ii v
afford	aa f OO r D
afraid	aa f r ee D
africa	ae f r aa k aa
african	ae f r aa k aa n
after	ae f T aa r
afternoon	ae f T aa r n UU n
afterward	ae f T aa r w aa r D
again	aa g ex n
against	aa g ex n s T
age	ee j
agent	ee j aa n T
agent's	ee j aa n T s
ago	aa g oo
agree	aa g r II
agreed	aa g r II D
agreement	aa g r II m aa n T
agriculture	ae g r ii k aa l c aa r
ah	AA
aha	AA hh AA
ahead	aa hh ex D
ahem	aa hh II m
aid	ee D
ailment	ee l m aa n T
aims	ee m z
air	ex r
airs	ex r z
aks	ae k s
aksed	ae k s T
alabama	ae l aa b ae m aa
alarm	aa l AA r m
alarmed	aa l AA r m D
alas	aa l ae s
alert	aa l aa r T
ali	AA l II
ali's	AA l II z
alice	ae l aa s
alike	aa l ay k
alive	aa l ay v
all	OO l
allah	AA l aa
alligators	ae l aa g ee T aa r z
allow	aa l aw
allowed	aa l aw D
almas	ae l m aa z
almas's	AA l m aa s ii z
almonds	AA l m aa n D z
almost	OO l m oo s T
alone	aa l oo n
along	aa l OO ng
aloud	aa l aw D
already	OO l r ex D II
alright	OO l r ay T
also	OO l s oo
alter	OO l T aa r
altering	OO l T aa r ii ng
although	OO l d oo
altitude	ae l T aa T UU D
always	OO l w ee z
am	ae m
amaze	aa m ee z
amazed	aa m ee z D
amazement	aa m ee z m aa n T
amazing	aa m ee z ii ng
amazon	ae m aa z AA n
ambition	ae m b ii sh aa n
america	aa m ex r aa k aa
amit	AA m II T
amma	ae m aa
amongst	aa m aa ng s T
amount	aa m aw n T
amply	ae m p l II
amsterdam	ae m s T aa r D ae m
amusing	aa m y UU z ii ng
an	ae n
ancient	ee n c aa n T
and	aa n D
ang	ae ng
anger	ae ng g aa r
angle	ae ng g aa l
angrier	ae ng g r II aa r
angrily	ae ng g r aa l II
angry	ae ng g r II
animal	ae n aa m aa l
animals	ae n aa m aa l z
animated	ae n aa m ee T aa D
ankle	ae ng k aa l
ann	ae n
anna	ae n aa
anne	ae n
annie	ae n II
announced	aa n aw n s T
annoy	aa n oy
annoyed	aa n oy D
annoying	aa n oy ii ng
annual	ae n y UU aa l
another	aa n aa d aa r
answer	ae n s aa r
answered	ae n s aa r D
answers	ae n s aa r z
ant	ae n T
antelope	ae n T aa l oo p
antics	ae n T ii k s
ants	ae n T s
anxious	ae ng k sh aa s
any	ex n II
anybody	ex n II b aa D II
anyday	ex n II D ee
anymore	ex n II m OO r
anyone	ex n II w aa n
anything	ex n II th ii ng
anythings	ex n II th ii ng z
anytime	ex n II T ay m
anyway	ex n II w ee
anywhere	ex n II w ex r
apart	aa p AA r T
apartments	aa p AA r T m aa n T s
apologized	aa p AA l aa j ay z D
app	ae p
appeal	aa p II l
appealing	aa p II l ii ng
appear	aa p ii r
appeared	aa p ii r D
appears	aa p ii r z
apple	ae p aa l
apples	ae p aa l z
applied	aa p l ay D
apply	aa p l ay
appoint	aa p oy n T
appointed	aa p oy n T aa D
appointment	aa p oy n T m aa n T
appreciate	aa p r II sh II ee T
approach	aa p r oo c
approached	aa p r oo c T
approve	aa p r UU v
apps	ae p s
april	ee p r aa l
aquarium	aa k w ex r II aa m
are	AA r
area	ex r II aa
aren't	AA r aa n T
